raw_venue_name,raw_city,canonical_venue_name,canonical_city,canonical_country,mapping_type,confidence,source
"7he Sevens Stadium, Dubai",Dubai,"7he Sevens Stadium, Dubai",Dubai,United Arab Emirates,EXACT,high,identity mapping
"Achimota Senior Secondary School A Field, Accra",Accra,"Achimota Senior Secondary School A Field, Accra",Accra,Ghana,EXACT,high,identity mapping
"Achimota Senior Secondary School B Field, Accra",Accra,"Achimota Senior Secondary School B Field, Accra",Accra,Ghana,EXACT,high,identity mapping
Adelaide Oval,,Adelaide Oval,Adelaide,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Adelaide Oval,Adelaide,Adelaide Oval,Adelaide,Australia,EXACT,high,identity mapping
Affies Park,Windhoek,Affies Park,Windhoek,Namibia,EXACT,high,identity mapping
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,EXACT,high,identity mapping
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,EXACT,high,identity mapping
AMI Stadium,Christchurch,AMI Stadium,Christchurch,New Zealand,EXACT,high,identity mapping
Amini Park,Port Moresby,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Amini Park, Port Moresby",Port Moresby,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,EXACT,high,identity mapping
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India,EXACT,high,identity mapping
"Antigua Recreation Ground, St John's",Antigua,"Antigua Recreation Ground, St John's",Antigua,Antigua and Barbuda,EXACT,high,identity mapping
Arbab Niaz Stadium,Peshawar,Arbab Niaz Stadium,Peshawar,Pakistan,EXACT,high,identity mapping
Arnos Vale Ground,Kingstown,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,EXACT,high,identity mapping
"Arnos Vale Ground, Kingstown",St Vincent,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,CURATED_ALIAS,high,Kingstown is the capital of St Vincent
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,CURATED_ALIAS,high,Kingstown is the capital of St Vincent
Arun Jaitley Stadium,Delhi,Arun Jaitley Stadium,Delhi,India,EXACT,high,identity mapping
"Arun Jaitley Stadium, Delhi",Delhi,Arun Jaitley Stadium,Delhi,India,CURATED_ALIAS,high,Delhi ground renamed Feroz Shah Kotla->Arun Jaitley Stadium (2019)
Feroz Shah Kotla,Delhi,Arun Jaitley Stadium,Delhi,India,HISTORICAL_RENAME,high,Delhi ground renamed Feroz Shah Kotla->Arun Jaitley Stadium (2019)
"Ballpark Ground, Graz",Graz,"Ballpark Ground, Graz",Graz,Austria,EXACT,high,identity mapping
Bangabandhu National Stadium,Dhaka,Bangabandhu National Stadium,Dhaka,Bangladesh,EXACT,high,identity mapping
"Bangabandhu National Stadium, Dhaka",Dhaka,Bangabandhu National Stadium,Dhaka,Bangladesh,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Barabati Stadium,Cuttack,Barabati Stadium,Cuttack,India,EXACT,high,identity mapping
"Barabati Stadium, Cuttack",Cuttack,Barabati Stadium,Cuttack,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Barsapara Cricket Stadium,Guwahati,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Barsapara Cricket Stadium, Guwahati",Guwahati,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,EXACT,high,identity mapping
Basin Reserve,Wellington,Basin Reserve,Wellington,New Zealand,EXACT,high,identity mapping
"Basin Reserve, Wellington",Wellington,Basin Reserve,Wellington,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bay Oval,Mount Maunganui,Bay Oval,Mount Maunganui,New Zealand,EXACT,high,identity mapping
"Bay Oval, Mount Maunganui",Mount Maunganui,Bay Oval,Mount Maunganui,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bayer Uerdingen Cricket Ground,Krefeld,Bayer Uerdingen Cricket Ground,Krefeld,Germany,EXACT,high,identity mapping
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,EXACT,high,identity mapping
"Beausejour Stadium, Gros Islet",St Lucia,"Beausejour Stadium, Gros Islet",St Lucia,Saint Lucia,EXACT,high,identity mapping
"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,EXACT,high,identity mapping
Bellerive Oval,Hobart,Bellerive Oval,Hobart,Australia,EXACT,high,identity mapping
"Bellerive Oval, Hobart",Hobart,Bellerive Oval,Hobart,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Bermuda National Stadium,Hamilton,Bermuda National Stadium,Hamilton,New Zealand,EXACT,high,identity mapping
Bert Sutcliffe Oval,Lincoln,Bert Sutcliffe Oval,Lincoln,New Zealand,EXACT,high,identity mapping
